Image,Noise Density,Filter,Kernel Size,MSE,PSNR
baboon,0.1,Median,3x3,315.64250564575195,23.138848786106333
baboon,0.1,Median,5x5,489.1195487976074,21.236653401131452
baboon,0.1,Gaussian,3x3,489.1847267150879,21.236074717982373
baboon,0.1,Gaussian,5x5,463.34777450561523,21.471732794549933
baboon,0.2,Median,3x3,401.89834213256836,22.089641461766526
baboon,0.2,Median,5x5,514.1393089294434,21.01999551401739
baboon,0.2,Gaussian,3x3,766.224193572998,19.287245001311003
baboon,0.2,Gaussian,5x5,666.3792343139648,19.893589057275413
baboon,0.3,Median,3x3,626.1206321716309,20.16422345805596
baboon,0.3,Median,5x5,543.526065826416,20.778599845281498
baboon,0.3,Gaussian,3x3,1055.250804901123,17.897246687796944
baboon,0.3,Gaussian,5x5,881.6709136962891,18.67773847204549
cameraman,0.1,Median,3x3,23.76256561279297,34.37187031826201
cameraman,0.1,Median,5x5,55.314693450927734,30.70239850954883
cameraman,0.1,Gaussian,3x3,310.2215995788574,23.21408328024321
cameraman,0.1,Gaussian,5x5,240.87589645385742,24.31287016912801
cameraman,0.2,Median,3x3,86.73857116699219,28.748680970717896
cameraman,0.2,Median,5x5,68.78756713867188,29.75570411164409
cameraman,0.2,Gaussian,3x3,685.8631439208984,19.768428949708415
cameraman,0.2,Gaussian,5x5,535.6141128540039,20.842283491861373
cameraman,0.3,Median,3x3,280.4607963562012,23.65208198006868
cameraman,0.3,Median,5x5,85.56735229492188,28.80772267016929
cameraman,0.3,Gaussian,3x3,1102.1654205322266,17.708335795709658
cameraman,0.3,Gaussian,5x5,875.4521408081055,18.708479517974737
lena,0.1,Median,3x3,27.907882690429688,33.67353472094921
lena,0.1,Median,5x5,53.11560821533203,30.878582020135426
lena,0.1,Gaussian,3x3,282.55220794677734,23.619816555148102
lena,0.1,Gaussian,5x5,214.76954650878906,24.81107660752989
lena,0.2,Median,3x3,69.32673263549805,29.721796284581433
lena,0.2,Median,5x5,61.07075500488281,30.272470717476374
lena,0.2,Gaussian,3x3,577.0786247253418,20.51845372741465
lena,0.2,Gaussian,5x5,434.96390533447266,21.746271415327133
lena,0.3,Median,3x3,275.5914077758789,23.72814687594922
lena,0.3,Median,5x5,76.86293029785156,29.27363423519588
lena,0.3,Gaussian,3x3,922.1204566955566,18.482927041731
lena,0.3,Gaussian,5x5,705.2733345031738,19.647228968404807
